The GSE3397 mRNA expression profile dataset.;;;;;
ID;adj.P.Val;P.Value;logFC;Gene.symbol;Gene.title
1556912_at;0,866;0,00231686;1,85835561;GIT2;GIT ArfGAP 2
214044_at;0,866;0,00233459;2,01840645;RYR2;ryanodine receptor 2
241904_at;0,866;0,00234642;-1,05550189;LOC101930071///LIPE-AS1;uncharacterized LOC101930071///LIPE antisense RNA 1
211959_at;0,866;0,00234751;-2,00992489;IGFBP5;insulin like growth factor binding protein 5
208529_at;0,866;0,00236726;2,63373332;BTF3P11;basic transcription factor 3 pseudogene 11
207322_at;0,866;0,00238628;1,64165916;ITSN1;intersectin 1
239730_at;0,866;0,00247279;-1,88023461;TSSK2///DGCR14;testis specific serine kinase 2///DiGeorge syndrome critical region gene 14
229974_at;0,866;0,00253985;0,82881393;EVC2;EvC ciliary complex subunit 2
231279_at;0,866;0,00263564;2,55788639;PATE1;prostate and testis expressed 1
1553818_x_at;0,866;0,00264368;1,90931311;LOC102725315///LOC727983///POM121L10P///POM121L4P///POM121L8P///POM121L9P///POM121L1P;putative POM121-like protein 1-like///putative POM121-like protein 1-like///POM121 transmembrane nucleoporin like 10, pseudogene///POM121 transmembrane nucleoporin like 4, pseudogene///POM121 transmembrane nucleoporin like 8, pseudogene///POM121 transmembrane nucleoporin like 9, pseudogene///POM121 transmembrane nucleoporin like 1, pseudogene
217023_x_at;0,866;0,00267109;1,10491373;TPSB2///TPSAB1;tryptase beta 2 (gene/pseudogene)///tryptase alpha/beta 1
1557185_at;0,866;0,00271727;1,74799104;TPCN1;two pore segment channel 1
230673_at;0,866;0,00274691;1,11127657;PKHD1L1;polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
1556377_s_at;0,866;0,00277298;-0,91283138;LMO7;LIM domain 7
229164_s_at;0,866;0,0028029;1,91132294;ABTB1;ankyrin repeat and BTB domain containing 1
239537_at;0,866;0,00288351;-2,04758374;ST8SIA2;ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
211872_s_at;0,866;0,0028919;-0,95563514;RGS11;regulator of G-protein signaling 11
1559059_s_at;0,866;0,0029469;1,03733751;ZNF611;zinc finger protein 611
221425_s_at;0,866;0,0029718;-0,66257313;ISCA1;iron-sulfur cluster assembly 1
214296_x_at;0,866;0,00300613;2,10490829;IZUMO4;IZUMO family member 4
237205_at;0,866;0,00305041;1,49438021;LINC00238;long intergenic non-protein coding RNA 238
239954_at;0,866;0,00305053;1,76358019;ZNF160;zinc finger protein 160
1568590_at;0,866;0,00305417;1,33056235;ARL3;ADP ribosylation factor like GTPase 3
240115_at;0,866;0,00305903;1,42702839;LOC100286925;uncharacterized LOC100286925
211579_at;0,866;0,00307095;-1,85141673;ITGB3;integrin subunit beta 3
242482_at;0,866;0,00307592;1,24217089;PRKAR1A;protein kinase cAMP-dependent type I regulatory subunit alpha
243610_at;0,866;0,0032744;-1,22550359;C9orf135;chromosome 9 open reading frame 135
227453_at;0,866;0,0032913;1,68578834;UNC13A;unc-13 homolog A
244170_at;0,866;0,00332872;1,9758437;RAB3C;RAB3C, member RAS oncogene family
223948_s_at;0,866;0,00334017;-1,12569698;TMPRSS3;transmembrane protease, serine 3
232173_at;0,866;0,00335854;-1,97638184;CLEC2L;C-type lectin domain family 2 member L
242837_at;0,866;0,00337171;-0,63332672;SRSF4;serine and arginine rich splicing factor 4
1554578_at;0,866;0,00341166;0,91384991;ZNF70;zinc finger protein 70
208584_at;0,866;0,00345549;-1,14244125;SNCG;synuclein gamma
244168_s_at;0,866;0,00347751;-1,66222972;ULK4;unc-51 like kinase 4
238886_at;0,866;0,00350445;1,13010047;TMED10;transmembrane p24 trafficking protein 10
220628_s_at;0,866;0,00358778;1,17400056;SDK2;sidekick cell adhesion molecule 2
226101_at;0,866;0,00358801;1,64948058;PRKCE;protein kinase C epsilon
207003_at;0,866;0,00359419;1,1735447;GUCA2A;guanylate cyclase activator 2A
219756_s_at;0,866;0,00360578;0,71730111;POF1B;premature ovarian failure, 1B
208058_s_at;0,866;0,00364618;-0,83425658;MGAT3;mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
227073_at;0,866;0,00369117;0,57242843;MAP3K2;mitogen-activated protein kinase kinase kinase 2
211918_x_at;0,866;0,00369796;1,82557843;PAPPA2;pappalysin 2
221104_s_at;0,866;0,00374705;-0,7045779;NIPSNAP3B;nipsnap homolog 3B
1562341_at;0,866;0,003786;1,13083548;LOC101927587///LOC101927560;uncharacterized LOC101927587///uncharacterized LOC101927560
1553376_a_at;0,866;0,00379946;-2,06941683;AXDND1;axonemal dynein light chain domain containing 1
204939_s_at;0,866;0,00389921;1,75859237;PLN;phospholamban
229857_s_at;0,866;0,0039602;1,72410235;KANSL1-AS1;KANSL1 antisense RNA 1
223653_x_at;0,866;0,00398528;-1,36107795;CELF4;CUGBP, Elav-like family member 4
223508_at;0,866;0,00403138;1,43173502;NOTCH1;notch 1
231252_at;0,866;0,00403585;-0,7034646;KANSL1L;KAT8 regulatory NSL complex subunit 1 like
1553108_at;0,866;0,00407479;-0,63842112;C5orf24;chromosome 5 open reading frame 24
217345_at;0,866;0,00410251;1,47274592;SMNP;survival of motor neuron 1, telomeric pseudogene
238218_at;0,866;0,0041045;1,37891203;OOEP;oocyte expressed protein
230321_at;0,866;0,00418589;-0,9415921;TOR1AIP2;torsin 1A interacting protein 2
231910_at;0,866;0,0042203;1,44145088;NUDT14;nudix hydrolase 14
1553705_a_at;0,866;0,00422882;1,86182236;CHRM3;cholinergic receptor muscarinic 3
240672_at;0,866;0,00425615;0,81528798;WDR74;WD repeat domain 74
207619_at;0,866;0,0043546;2,07010169;HCRTR1;hypocretin receptor 1
235593_at;0,866;0,00436247;1,70872175;ZEB2;zinc finger E-box binding homeobox 2
216206_x_at;0,866;0,00436891;-1,89439396;MAP2K7;mitogen-activated protein kinase kinase 7
230417_at;0,866;0,00438152;1,3502859;GALNT16;polypeptide N-acetylgalactosaminyltransferase 16
209541_at;0,866;0,00441596;1,49712434;IGF1;insulin like growth factor 1
225024_at;0,866;0,00445985;-0,49172678;RPRD1B;regulation of nuclear pre-mRNA domain containing 1B
210229_s_at;0,866;0,00448967;3,19114285;CSF2;colony stimulating factor 2
1557540_at;0,866;0,00449127;1,26952666;LOC100507403;uncharacterized LOC100507403
1561710_at;0,866;0,00449698;-2,09164203;SNX19;sorting nexin 19
231832_at;0,866;0,00451014;-0,75659555;POC1B-GALNT4///GALNT4;POC1B-GALNT4 readthrough///polypeptide N-acetylgalactosaminyltransferase 4
219894_at;0,866;0,00451839;-1,5386683;MAGEL2;MAGE family member L2
240392_at;0,866;0,00457519;1,81186564;LOC105371920;uncharacterized LOC105371920
240746_s_at;0,866;0,00458503;1,47294121;LOC101927760;uncharacterized LOC101927760
203305_at;0,866;0,0046289;-1,51046015;F13A1;coagulation factor XIII A chain
214108_at;0,866;0,00465777;0,98285145;MAX;MYC associated factor X
234527_at;0,866;0,00466233;0,94953993;NCAM2;neural cell adhesion molecule 2
203088_at;0,866;0,00467169;-1,11801597;FBLN5;fibulin 5
233662_at;0,866;0,00485291;2,231251;CDH26;cadherin 26
210805_x_at;0,866;0,00485632;2,01827755;LOC101928269///LOC100506403///RUNX1;uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
1561430_s_at;0,866;0,00489957;0,93613691;MAATS1;MYCBP associated and testis expressed 1
205615_at;0,866;0,00490168;2,17179839;CPA1;carboxypeptidase A1
223977_s_at;0,866;0,00490619;0,80157091;LINC00470;long intergenic non-protein coding RNA 470
226827_at;0,866;0,00496461;-0,99868651;TMEM165;transmembrane protein 165
235869_at;0,866;0,00507028;0,77446286;SCOC-AS1;SCOC antisense RNA 1
215255_at;0,866;0,00510089;-1,2388536;IGSF9B;immunoglobulin superfamily member 9B
1555634_a_at;0,866;0,00511571;0,65993248;LILRA5;leukocyte immunoglobulin like receptor A5
206515_at;0,866;0,00519715;1,03779276;CYP4F3;cytochrome P450 family 4 subfamily F member 3
201785_at;0,866;0,00521922;1,52018662;RNASE1;ribonuclease A family member 1, pancreatic
203842_s_at;0,866;0,00528617;1,33498777;MAPRE3;microtubule associated protein RP/EB family member 3
242007_at;0,866;0,00530196;-2,52659312;FBXO30;F-box protein 30
221578_at;0,866;0,00534134;1,32240374;RASSF4;Ras association domain family member 4
1556289_at;0,866;0,00535456;1,1434919;LOC100506016;uncharacterized LOC100506016
1552842_at;0,866;0,00537511;1,01221386;HS6ST3;heparan sulfate 6-O-sulfotransferase 3
209292_at;0,866;0,00539486;-2,27519929;ID4;inhibitor of DNA binding 4, HLH protein
237061_at;0,866;0,00541766;-1,47391757;ZNF347;zinc finger protein 347
241385_at;0,866;0,00542558;-0,50041995;LARP7;La ribonucleoprotein domain family member 7
203104_at;0,866;0,00550546;0,97174287;CSF1R;colony stimulating factor 1 receptor
1561394_s_at;0,866;0,00551264;-1,17379481;KIAA1755;KIAA1755
244745_at;0,866;0,00553178;1,73100451;RERG;RAS like estrogen regulated growth inhibitor
221774_x_at;0,866;0,00553944;0,51455094;SUPT20H;SPT20 homolog, SAGA complex component
228884_at;0,866;0,00557678;1,60050327;LRRC27;leucine rich repeat containing 27
221461_at;0,866;0,00558783;1,41711731;TAS2R9;taste 2 receptor member 9
244829_at;0,866;0,00561327;-0,89662219;LINC00518;long intergenic non-protein coding RNA 518
204486_at;0,866;0,00563893;-1,49183453;LOC101927338///KCNQ1OT1;uncharacterized LOC101927338///KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
1554785_at;0,866;0,00566797;-1,67825029;CCDC82;coiled-coil domain containing 82
242857_at;0,866;0,00569506;-0,71755131;FARP2;FERM, ARH/RhoGEF and pleckstrin domain protein 2
226494_at;0,866;0,00571597;0,84071255;CAMSAP3;calmodulin regulated spectrin associated protein family member 3
232091_s_at;0,866;0,00574921;1,05420813;ZDHHC24;zinc finger DHHC-type containing 24
229387_at;0,866;0,00578773;-2,17510594;LRCH3;leucine rich repeats and calponin homology domain containing 3
1568884_at;0,866;0,00579253;-1,09227108;DNAJC2;DnaJ heat shock protein family (Hsp40) member C2
231677_at;0,866;0,00580083;2,25524082;LOC105377924;uncharacterized LOC105377924
236800_at;0,866;0,00581288;1,11011797;UCMA;upper zone of growth plate and cartilage matrix associated
206048_at;0,866;0,0058451;1,71936921;OVOL2;ovo like zinc finger 2
219331_s_at;0,866;0,00586873;1,47365625;KLHDC8A;kelch domain containing 8A
217110_s_at;0,866;0,00588681;2,45208911;MUC4;mucin 4, cell surface associated
239386_at;0,866;0,0059026;1,39921433;HAVCR1P1;hepatitis A virus cellular receptor 1 pseudogene 1
239950_at;0,866;0,00592385;1,29465993;HOXA11-AS;HOXA11 antisense RNA
1563132_at;0,866;0,00595724;1,17799443;LINC01169;long intergenic non-protein coding RNA 1169
1557177_at;0,866;0,00596521;-1,66999528;LOC100506258;uncharacterized LOC100506258
1558859_at;0,866;0,00603509;0,74679913;LOC101928623///LOC401320;uncharacterized LOC101928623///uncharacterized LOC401320
1564000_at;0,866;0,00605011;1,03787272;ANKRD31;ankyrin repeat domain 31
203409_at;0,866;0,00607382;0,4235413;DDB2;damage specific DNA binding protein 2
216632_at;0,866;0,00607978;0,63261002;NAV3;neuron navigator 3
243608_at;0,866;0,00610163;1,13097199;COG2;component of oligomeric golgi complex 2
234393_at;0,866;0,0061042;1,33435095;HDAC9;histone deacetylase 9
238031_at;0,866;0,00618429;-0,69658339;LOC101928707;uncharacterized LOC101928707
208148_at;0,866;0,00621976;2,0533823;MYH4;myosin heavy chain 4
223573_s_at;0,866;0,0062261;1,48411373;PPP2R2C;protein phosphatase 2 regulatory subunit Bgamma
221459_at;0,866;0,00625229;1,4329327;TAAR5;trace amine associated receptor 5
1553030_a_at;0,866;0,00627439;-0,74816237;SUOX;sulfite oxidase
243163_at;0,866;0,00628053;2,52081201;HECW1;HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
1555177_at;0,866;0,00629486;2,06327555;PRKAA1;protein kinase AMP-activated catalytic subunit alpha 1
205117_at;0,866;0,00631556;-1,27772508;FGF1;fibroblast growth factor 1
216886_at;0,866;0,0063426;1,79326509;CHRNA4;cholinergic receptor nicotinic alpha 4 subunit
220401_at;0,866;0,00643101;2,24265183;FLJ21369;uncharacterized protein FLJ21369
234291_s_at;0,866;0,00643292;-1,4973537;SLC6A20;solute carrier family 6 member 20
212731_at;0,866;0,00645405;-0,70725166;ANKRD46;ankyrin repeat domain 46
1569739_at;0,866;0,00655799;0,63219824;LOC221946;uncharacterized LOC221946
221108_at;0,866;0,00659222;0,8723499;DRICH1;aspartate rich 1
221241_s_at;0,866;0,00666402;-1,58373583;BCL2L14;BCL2 like 14
203056_s_at;0,866;0,00666441;-0,43871147;PRDM2;PR/SET domain 2
214020_x_at;0,866;0,00666984;1,02940227;ITGB5;integrin subunit beta 5
1557338_x_at;0,866;0,00670047;1,76134889;SUCLG2-AS1;SUCLG2 antisense RNA 1 (head to head)
65472_at;0,866;0,00670414;-0,684668;C2orf68;chromosome 2 open reading frame 68
238684_at;0,866;0,00672907;1,90205994;SETDB2;SET domain bifurcated 2
1552622_s_at;0,866;0,0067377;-0,72324902;UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J;uroplakin 3B-like///RNA polymerase II subunit J3///PMS1 homolog 2, mismatch repair system component pseudogene///RNA polymerase II subunit J2///RNA polymerase II subunit J
222610_s_at;0,866;0,00674537;0,58929295;S100PBP;S100P binding protein
229082_at;0,866;0,00679421;-2,04253836;CCDC125;coiled-coil domain containing 125
213381_at;0,866;0,00682012;1,32292515;VSTM4;V-set and transmembrane domain containing 4
1554705_at;0,866;0,00682795;0,97451031;SCARA5;scavenger receptor class A member 5
205414_s_at;0,866;0,00685237;1,76018107;ARHGAP44;Rho GTPase activating protein 44
212927_at;0,866;0,00686905;-0,95563099;SMC5;structural maintenance of chromosomes 5
206911_at;0,866;0,00691465;0,58097318;TRIM25;tripartite motif containing 25
242519_at;0,866;0,00691675;2,08837807;CCDC152;coiled-coil domain containing 152
243153_at;0,866;0,00692058;1,09904041;CDK5RAP2;CDK5 regulatory subunit associated protein 2
1569323_at;0,866;0,00700873;-2,08069948;PTPRG;protein tyrosine phosphatase, receptor type G
1552458_at;0,866;0,00703418;1,35325393;MBD3L1;methyl-CpG binding domain protein 3 like 1
1563287_at;0,866;0,00703981;1,16801544;LOC101929019;uncharacterized LOC101929019
206641_at;0,866;0,00706452;1,89047391;TNFRSF17;TNF receptor superfamily member 17
1558135_at;0,866;0,00716884;-1,27389053;TAF11;TATA-box binding protein associated factor 11
229359_at;0,866;0,00718034;-0,63557689;ASXL2;additional sex combs like 2, transcriptional regulator
219285_s_at;0,866;0,00723267;1,43297237;NIN;ninein
1560714_at;0,866;0,00726633;1,43473253;FLJ37035;uncharacterized LOC399821
237608_at;0,866;0,00726999;-1,69663268;LOC101929570;uncharacterized LOC101929570
220376_at;0,866;0,00729563;2,05628508;LRRC19;leucine rich repeat containing 19
1564539_at;0,866;0,00731573;-1,821061;LOC647323;uncharacterized LOC647323
216919_at;0,866;0,00735136;-0,92796096;TP53I11;tumor protein p53 inducible protein 11
1562133_x_at;0,866;0,00737773;-1,76986297;ZNF90;zinc finger protein 90
238986_at;0,866;0,00744659;0,64723804;LINC-PINT;long intergenic non-protein coding RNA, p53 induced transcript
231791_at;0,866;0,00746364;-0,69447042;ASAH2B;N-acylsphingosine amidohydrolase 2B
1553537_at;0,866;0,00749701;-1,77487291;KRT73;keratin 73
227050_at;0,866;0,00750245;1,71260842;TENM3;teneurin transmembrane protein 3
233340_at;0,866;0,00751026;1,50687233;SPINK13;serine peptidase inhibitor, Kazal type 13 (putative)
202902_s_at;0,866;0,00758749;0,87211711;CTSS;cathepsin S
234840_s_at;0,866;0,0075977;1,53819963;OR5V1;olfactory receptor family 5 subfamily V member 1
1563185_at;0,866;0,00768491;1,56088069;LOC102800447///LOC101930566;uncharacterized LOC102800447///uncharacterized LOC101930566
223985_at;0,866;0,00769785;2,16768542;FSD1L;fibronectin type III and SPRY domain containing 1 like
235623_at;0,866;0,00770357;1,39593894;ELP2;elongator acetyltransferase complex subunit 2
1561676_at;0,866;0,00770605;-1,90361449;PRICKLE2-AS3;PRICKLE2 antisense RNA 3
214187_x_at;0,866;0,00771792;0,95653876;CTDSPL;CTD small phosphatase like
1562938_at;0,866;0,00772303;-1,49943379;FAHD2CP;fumarylacetoacetate hydrolase domain containing 2C, pseudogene
235916_at;0,866;0,00773146;1,46459853;YPEL4;yippee like 4
208601_s_at;0,866;0,0077319;-2,02952924;TUBB1;tubulin beta 1 class VI
1561025_at;0,866;0,00775047;1,39551554;CDKAL1;CDK5 regulatory subunit associated protein 1 like 1
225957_at;0,866;0,00776988;1,70032043;CREBRF;CREB3 regulatory factor
210654_at;0,866;0,00780386;-0,85952195;TNFRSF10D;TNF receptor superfamily member 10d
205539_at;0,866;0,00782189;-1,91828902;AVIL;advillin
1569512_at;0,866;0,00784081;-0,8966886;SVIL;supervillin
1405_i_at;0,866;0,00789191;1,40643536;CCL5;C-C motif chemokine ligand 5
207670_at;0,866;0,00796662;1,2390892;KRT85;keratin 85
214155_s_at;0,866;0,00798627;-0,52903502;LARP4;La ribonucleoprotein domain family member 4
228478_at;0,866;0,00799386;-0,78656646;SPPL2A;signal peptide peptidase like 2A
221470_s_at;0,866;0,00801012;-1,00256634;IL37;interleukin 37
214757_at;0,866;0,00803408;-1,91535011;PMS2P2;PMS1 homolog 2, mismatch repair system component pseudogene 2
215926_x_at;0,866;0,00806973;-0,77569258;SNAPC4;small nuclear RNA activating complex polypeptide 4
205461_at;0,866;0,00808827;-0,65979545;RAB35;RAB35, member RAS oncogene family
205551_at;0,866;0,00814002;0,79645612;SV2B;synaptic vesicle glycoprotein 2B
1560725_at;0,866;0,00817872;2,11263813;IL12A-AS1;IL12A antisense RNA 1
231699_at;0,866;0,00821068;1,62116419;NFKBIA;NFKB inhibitor alpha
216402_at;0,866;0,00830489;-1,52556976;SEC14L4;SEC14 like lipid binding 4
242644_at;0,866;0,00830985;1,70472947;TMC8;transmembrane channel like 8
206159_at;0,866;0,00832711;1,48958719;GDF10;growth differentiation factor 10
209982_s_at;0,866;0,00834659;1,25844445;NRXN2;neurexin 2
220845_at;0,866;0,00836805;2,07930434;ACOXL;acyl-CoA oxidase-like
237749_at;0,866;0,0083788;-1,32830007;TCF4-AS1;TCF4 antisense RNA 1
1553232_at;0,866;0,00838529;1,55663279;RMDN2;regulator of microtubule dynamics 2
241377_s_at;0,866;0,00839711;1,54506788;MIB2;mindbomb E3 ubiquitin protein ligase 2
217151_at;0,866;0,0084005;1,43683402;LOC101928457;uncharacterized LOC101928457
205304_s_at;0,866;0,0084297;1,11326166;KCNJ8;potassium voltage-gated channel subfamily J member 8
238795_at;0,866;0,00843652;-0,44434763;FAM208B;family with sequence similarity 208 member B
244028_at;0,866;0,00845167;-0,88635569;MIR6125///USP15;microRNA 6125///ubiquitin specific peptidase 15
214322_at;0,866;0,00846567;-0,53309331;CAMK2G;calcium/calmodulin dependent protein kinase II gamma
232111_at;0,866;0,00848756;-1,37067099;TUNAR;TCL1 upstream neural differentiation-associated RNA
223893_at;0,866;0,00849918;1,06922378;ENAM;enamelin
216149_at;0,866;0,00853307;1,40995001;LRRC37BP1;leucine rich repeat containing 37B pseudogene 1
1562440_at;0,866;0,00854095;1,57963362;MAP3K13;mitogen-activated protein kinase kinase kinase 13
241383_at;0,866;0,00857187;1,26239328;ZNF385C;zinc finger protein 385C
1553828_at;0,866;0,00858136;0,80467678;NXPE1;neurexophilin and PC-esterase domain family member 1
1556898_at;0,866;0,00860147;1,39114456;LOC200830;uncharacterized LOC200830
220255_at;0,866;0,00866086;0,9730715;FANCE;Fanconi anemia complementation group E
227975_at;0,866;0,00868551;-0,7219103;GPRIN1;G protein regulated inducer of neurite outgrowth 1
235319_at;0,866;0,00871841;-1,2066811;LINC01004;long intergenic non-protein coding RNA 1004
238807_at;0,866;0,00871987;-0,68498104;GAPDHP62///ANKRD46;glyceraldehyde 3 phosphate dehydrogenase pseudogene 62///ankyrin repeat domain 46
1562261_at;0,866;0,00874396;1,53227739;AMZ1;archaelysin family metallopeptidase 1
1559382_at;0,866;0,00883358;-0,69435368;SMIM7;small integral membrane protein 7
241746_at;0,866;0,00889656;0,88380895;CUL7;cullin 7
212915_at;0,866;0,00892991;1,89191059;PDZRN3;PDZ domain containing ring finger 3
214588_s_at;0,866;0,00895375;-0,85772336;MFAP3;microfibrillar associated protein 3
228845_at;0,866;0,00895724;1,30855498;PLBD2;phospholipase B domain containing 2
236189_at;0,866;0,00899653;1,73086716;ANKRD50;ankyrin repeat domain 50
1567055_at;0,866;0,00903816;1,51989666;OR1C1;olfactory receptor family 1 subfamily C member 1
237288_at;0,866;0,00907158;0,90314651;TGM7;transglutaminase 7
217021_at;0,866;0,00908876;-1,52188098;CYB5A;cytochrome b5 type A
1562028_at;0,866;0,00916593;0,87234179;CCND3;cyclin D3
1553318_at;0,866;0,00916653;1,47851916;RIBC1;RIB43A domain with coiled-coils 1
237346_at;0,866;0,00917745;-0,77089058;TGDS;TDP-glucose 4,6-dehydratase
1557566_at;0,866;0,00919718;1,42181851;LOC100507634;uncharacterized LOC100507634
1556842_at;0,866;0,00920269;2,04632653;LOC286087;uncharacterized LOC286087
224271_x_at;0,866;0,00927341;-1,9553988;FRMD8P1;FERM domain containing 8 pseudogene 1
226754_at;0,866;0,0092745;1,61660885;ZNF251;zinc finger protein 251
1558906_a_at;0,866;0,00927486;1,39697368;OSER1-AS1;OSER1 antisense RNA 1 (head to head)
227118_s_at;0,866;0,00933668;0,68836668;MRPS26;mitochondrial ribosomal protein S26
