The GSE48466 mRNA expression profile dataset.;;;;;
ID;adj.P.Val;P.Value;logFC;Gene.symbol;Gene.title
225291_at;0,0000129;4,64E-08;2,35341622;PNPT1;polyribonucleotide nucleotidyltransferase 1
214022_s_at;0,0000131;4,78E-08;3,05463572;IFITM1;interferon induced transmembrane protein 1
213361_at;0,000014;5,15E-08;1,82982655;TDRD7;tudor domain containing 7
1570023_at;0,0000143;5,33E-08;1,08497333;MGAT4EP;MGAT4 family member E, pseudogene
213261_at;0,0000143;5,35E-08;2,49014544;TRANK1;tetratricopeptide repeat and ankyrin repeat containing 1
1554285_at;0,0000144;5,39E-08;1,65515193;HAVCR2;hepatitis A virus cellular receptor 2
242571_at;0,000015;5,78E-08;-1,97137858;REPS2;RALBP1 associated Eps domain containing 2
1554777_at;0,0000152;5,88E-08;3,35921155;ZFP42;ZFP42 zinc finger protein
230383_x_at;0,000016;6,24E-08;0,98329617;SLFN5;schlafen family member 5
217427_s_at;0,0000162;6,37E-08;1,06622752;HIRA;histone cell cycle regulator
219062_s_at;0,0000162;6,39E-08;1,3971352;ZCCHC2;zinc finger CCHC-type containing 2
201963_at;0,0000169;6,72E-08;1,28464943;ACSL1;acyl-CoA synthetase long-chain family member 1
206332_s_at;0,0000169;6,73E-08;1,40600731;IFI16;interferon gamma inducible protein 16
204745_x_at;0,0000174;6,92E-08;1,50880073;MT1G;metallothionein 1G
209871_s_at;0,0000178;7,17E-08;4,12363608;APBA2;amyloid beta precursor protein binding family A member 2
206513_at;0,0000178;7,18E-08;8,82705617;AIM2;absent in melanoma 2
241412_at;0,0000181;7,32E-08;1,47994467;BTC;betacellulin
218999_at;0,0000187;7,63E-08;3,79770852;TMEM140;transmembrane protein 140
201042_at;0,0000199;8,17E-08;2,21862371;TGM2;transglutaminase 2
208436_s_at;0,0000199;8,25E-08;3,12173084;IRF7;interferon regulatory factor 7
204694_at;0,0000199;8,27E-08;1,84488742;AFP;alpha fetoprotein
232698_at;0,0000199;8,28E-08;3,21722006;BPIFB2;BPI fold containing family B member 2
1555852_at;0,0000205;8,61E-08;1,35794471;PSMB8-AS1;PSMB8 antisense RNA 1 (head to head)
202411_at;0,0000205;8,62E-08;1,93302276;IFI27;interferon alpha inducible protein 27
209459_s_at;0,0000207;8,74E-08;1,11496695;ABAT;4-aminobutyrate aminotransferase
223567_at;0,0000208;8,84E-08;2,10244292;SEMA6B;semaphorin 6B
202510_s_at;0,0000213;9,06E-08;1,73617273;TNFAIP2;TNF alpha induced protein 2
206212_at;0,0000215;9,21E-08;3,01357615;CPA2;carboxypeptidase A2
220998_s_at;0,0000215;9,23E-08;1,22254324;UNC93B1;unc-93 homolog B1 (C. elegans)
231904_at;0,0000215;9,31E-08;4,64829287;U2AF1;U2 small nuclear RNA auxiliary factor 1
210001_s_at;0,0000222;9,66E-08;4,45026463;SOCS1;suppressor of cytokine signaling 1
221816_s_at;0,0000245;0,000000109;1,46754436;PHF11;PHD finger protein 11
234177_at;0,0000248;0,000000111;2,01144587;LOC101927950;uncharacterized LOC101927950
225646_at;0,0000248;0,000000111;0,71562643;CTSC;cathepsin C
224900_at;0,0000249;0,000000112;0,92058522;ANKFY1;ankyrin repeat and FYVE domain containing 1
209230_s_at;0,000025;0,000000113;3,08461382;NUPR1;nuclear protein 1, transcriptional regulator
205771_s_at;0,000025;0,000000114;2,27374905;AKAP7;A-kinase anchoring protein 7
202531_at;0,0000251;0,000000115;1,75995538;IRF1;interferon regulatory factor 1
217165_x_at;0,0000253;0,000000116;1,40382143;MT1F;metallothionein 1F
204439_at;0,0000255;0,000000118;4,17226187;IFI44L;interferon induced protein 44 like
53720_at;0,0000255;0,000000118;2,95687625;C19orf66;chromosome 19 open reading frame 66
221807_s_at;0,0000256;0,000000119;1,60878942;TRABD;TraB domain containing
236965_at;0,0000275;0,000000129;1,49318025;UBQLNL;ubiquilin-like
202145_at;0,0000276;0,00000013;2,4838704;LY6E;lymphocyte antigen 6 complex, locus E
223750_s_at;0,000028;0,000000133;2,64286634;TLR10;toll like receptor 10
219011_at;0,000028;0,000000133;2,79530129;PLEKHA4;pleckstrin homology domain containing A4
206461_x_at;0,0000287;0,000000137;1,02984098;MT1H;metallothionein 1H
208829_at;0,0000299;0,000000143;1,00645116;TAPBP;TAP binding protein (tapasin)
207608_x_at;0,0000299;0,000000144;1,36149598;CYP1A2;cytochrome P450 family 1 subfamily A member 2
212380_at;0,0000311;0,000000151;2,00094221;CMTR1;cap methyltransferase 1
1564138_at;0,0000311;0,000000151;3,7665112;FBXW12;F-box and WD repeat domain containing 12
228439_at;0,000032;0,000000157;5,00045625;BATF2;basic leucine zipper ATF-like transcription factor 2
216582_at;0,000032;0,000000157;1,66713583;POM121L2;POM121 transmembrane nucleoporin like 2
37943_at;0,0000322;0,00000016;1,87522795;ZFYVE26;zinc finger FYVE-type containing 26
1568592_at;0,0000327;0,000000164;2,78828736;TRIM69;tripartite motif containing 69
229194_at;0,0000327;0,000000164;1,5856726;PCGF5;polycomb group ring finger 5
226103_at;0,0000333;0,000000168;6,40246515;NEXN;nexilin F-actin binding protein
219727_at;0,0000338;0,000000171;2,96594029;DUOX2;dual oxidase 2
225575_at;0,0000338;0,000000171;3,06195777;LIFR;leukemia inhibitory factor receptor alpha
1552623_at;0,0000351;0,000000178;3,97784049;HSH2D;hematopoietic SH2 domain containing
211799_x_at;0,0000355;0,000000182;1,71749064;HLA-C;major histocompatibility complex, class I, C
225344_at;0,0000361;0,000000186;1,26036158;NCOA7;nuclear receptor coactivator 7
221241_s_at;0,0000361;0,000000186;3,11002266;BCL2L14;BCL2 like 14
213407_at;0,0000362;0,000000187;2,4398722;PHLPP2;PH domain and leucine rich repeat protein phosphatase 2
221175_at;0,0000366;0,00000019;2,05180946;C3orf36;chromosome 3 open reading frame 36
235529_x_at;0,0000367;0,000000192;0,79177036;SAMHD1;SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
221875_x_at;0,0000379;0,0000002;2,25794882;HLA-F;major histocompatibility complex, class I, F
202901_x_at;0,0000379;0,0000002;1,12533435;CTSS;cathepsin S
202357_s_at;0,0000381;0,000000202;1,05178512;CFB;complement factor B
201762_s_at;0,0000386;0,000000206;1,0683737;MIR7703///PSME2;microRNA 7703///proteasome activator subunit 2
233159_at;0,0000389;0,00000021;1,70385457;STARD13-AS;STARD13 antisense RNA
217456_x_at;0,0000389;0,000000211;1,23477776;HLA-E;major histocompatibility complex, class I, E
221122_at;0,0000389;0,000000211;3,45728924;HRASLS2;HRAS like suppressor 2
211531_x_at;0,0000391;0,000000213;2,21423527;PRB1;proline rich protein BstNI subfamily 1
210705_s_at;0,0000413;0,000000229;2,19378754;TRIM5;tripartite motif containing 5
222512_at;0,0000417;0,000000233;1,96670986;NUB1;negative regulator of ubiquitin like proteins 1
208071_s_at;0,0000417;0,000000233;2,00774486;LAIR1;leukocyte associated immunoglobulin like receptor 1
232832_at;0,0000457;0,000000259;3,23035445;LOC93429;uncharacterized LOC93429
210264_at;0,0000466;0,000000268;3,37685022;GPR35;G protein-coupled receptor 35
232024_at;0,0000466;0,000000268;2,4808741;GIMAP2;GTPase, IMAP family member 2
225076_s_at;0,0000466;0,000000269;2,30697014;ZNFX1;zinc finger NFX1-type containing 1
215245_x_at;0,0000479;0,00000028;0,91771016;FMR1;fragile X mental retardation 1
213716_s_at;0,0000492;0,000000289;2,24164302;SECTM1;secreted and transmembrane 1
223434_at;0,0000507;0,000000298;1,35854986;GBP3;guanylate binding protein 3
1559370_at;0,0000517;0,000000307;3,96769162;LOC101926921///DAB2;uncharacterized LOC101926921///DAB2, clathrin adaptor protein
224800_at;0,0000529;0,000000316;0,82237239;WDFY1;WD repeat and FYVE domain containing 1
210873_x_at;0,0000532;0,000000318;4,12840837;APOBEC3A_B///APOBEC3A;APOBEC3A and APOBEC3B deletion hybrid///apolipoprotein B mRNA editing enzyme catalytic subunit 3A
1562581_at;0,0000534;0,00000032;2,03536947;LOC254028;uncharacterized LOC254028
211456_x_at;0,0000541;0,000000325;1,04765905;MT1HL1;metallothionein 1H-like 1
227238_at;0,0000546;0,000000329;1,0531757;MUC15;mucin 15, cell surface associated
203915_at;0,0000548;0,000000332;3,72426866;CXCL9;C-X-C motif chemokine ligand 9
228645_at;0,0000561;0,000000341;-1,62094481;SNHG9///SNORA78;small nucleolar RNA host gene 9///small nucleolar RNA, H/ACA box 78
203020_at;0,0000561;0,000000342;1,23531413;RABGAP1L;RAB GTPase activating protein 1 like
222530_s_at;0,0000565;0,000000345;-0,95646724;MKKS;McKusick-Kaufman syndrome
228675_at;0,0000575;0,000000353;3,69740529;USP30-AS1;USP30 antisense RNA 1
241396_at;0,0000578;0,000000357;-1,12350073;NEDD4L;neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase
233163_at;0,0000596;0,00000037;3,46450966;LOC731157;uncharacterized LOC731157
211911_x_at;0,0000596;0,000000372;1,34579369;HLA-B;major histocompatibility complex, class I, B
1553769_at;0,0000607;0,00000038;3,81089187;SLAMF9;SLAM family member 9
207500_at;0,0000607;0,000000381;1,14750116;CASP5;caspase 5
1555400_at;0,0000622;0,000000391;3,83310549;LOC645261;PP565
1560081_at;0,0000622;0,000000392;2,64543129;RAD51-AS1;RAD51 antisense RNA 1 (head to head)
225776_at;0,0000622;0,000000394;0,80983236;RBMS2;RNA binding motif single stranded interacting protein 2
34689_at;0,0000623;0,000000395;1,65459419;ATRIP///TREX1;ATR interacting protein///three prime repair exonuclease 1
1559065_a_at;0,0000623;0,000000397;1,89533517;CLEC4G;C-type lectin domain family 4 member G
212468_at;0,0000623;0,000000397;-0,8540117;SPAG9;sperm associated antigen 9
1563373_at;0,0000625;0,0000004;13,29523782;LINC01220;long intergenic non-protein coding RNA 1220
208464_at;0,0000645;0,000000415;2,77374395;GRIA4;glutamate ionotropic receptor AMPA type subunit 4
1566037_at;0,0000646;0,000000417;2,40474014;DGCR7;DiGeorge syndrome critical region gene 7
231473_at;0,0000654;0,000000423;1,49590596;LOC100506530;uncharacterized LOC100506530
241976_at;0,0000661;0,000000429;0,99178814;TCEA3;transcription elongation factor A3
1570238_at;0,0000667;0,000000434;2,4124078;ZNF527;zinc finger protein 527
1555308_at;0,000068;0,000000445;1,66788256;CARD14;caspase recruitment domain family member 14
230726_at;0,00007;0,000000462;2,42389435;MRPL38;mitochondrial ribosomal protein L38
202765_s_at;0,00007;0,000000464;2,26591385;FBN1;fibrillin 1
226678_at;0,0000702;0,000000466;3,05843268;UNC13D;unc-13 homolog D
218085_at;0,0000712;0,000000475;0,70934416;CHMP5;charged multivesicular body protein 5
214872_at;0,0000712;0,000000477;2,85282815;RIF1;replication timing regulatory factor 1
1556400_at;0,000072;0,000000483;0,84289965;LOC105378589;uncharacterized LOC105378589
231722_at;0,0000721;0,000000485;2,54762627;CASP14;caspase 14
216860_s_at;0,0000741;0,000000501;3,80558955;GDF11;growth differentiation factor 11
242360_at;0,0000741;0,000000505;4,45009552;LDB2;LIM domain binding 2
219593_at;0,0000741;0,000000505;4,37264433;SLC15A3;solute carrier family 15 member 3
221044_s_at;0,0000763;0,000000525;0,87971234;TRIM6-TRIM34///TRIM34;TRIM6-TRIM34 readthrough///tripartite motif containing 34
229592_at;0,0000766;0,000000528;1,36660999;LINC01569;long intergenic non-protein coding RNA 1569
216209_at;0,000077;0,000000532;2,70141019;LINC00939;long intergenic non-protein coding RNA 939
209716_at;0,0000771;0,000000534;1,61746148;CSF1;colony stimulating factor 1
202307_s_at;0,0000785;0,000000546;3,47136579;TAP1;transporter 1, ATP binding cassette subfamily B member
223192_at;0,0000797;0,000000557;2,63583568;SLC25A28;solute carrier family 25 member 28
205676_at;0,0000798;0,000000562;0,86647283;CYP27B1;cytochrome P450 family 27 subfamily B member 1
206082_at;0,0000798;0,000000562;2,46313128;HCP5;HLA complex P5 (non-protein coding)
212579_at;0,0000805;0,000000568;1,46465236;SMCHD1;structural maintenance of chromosomes flexible hinge domain containing 1
1569590_at;0,0000852;0,000000606;2,26327078;DOCK5;dedicator of cytokinesis 5
218614_at;0,0000854;0,000000609;0,90581053;KIAA1551;KIAA1551
1562424_at;0,0000857;0,000000613;1,67386952;LOC285889;uncharacterized LOC285889
227855_at;0,0000882;0,000000633;4,76792363;ARHGEF40;Rho guanine nucleotide exchange factor 40
234021_at;0,0000889;0,000000643;5,4176543;EML2;echinoderm microtubule associated protein like 2
204563_at;0,0000889;0,000000644;4,73486179;SELL;selectin L
1569392_at;0,0000891;0,000000647;2,17238514;TECR;trans-2,3-enoyl-CoA reductase
214408_s_at;0,0000898;0,000000654;2,69938407;RFPL1S///RFPL3S;RFPL1 antisense RNA 1///RFPL3 antisense
1552370_at;0,0000902;0,000000658;0,96134191;C4orf33;chromosome 4 open reading frame 33
232549_at;0,0000908;0,000000664;3,95209335;RBM11;RNA binding motif protein 11
207466_at;0,0000919;0,000000679;1,86893993;GAL;galanin and GMAP prepropeptide
241585_at;0,0000926;0,000000686;3,6649926;LRRC4C;leucine rich repeat containing 4C
221087_s_at;0,0000929;0,000000693;2,72434872;APOL3;apolipoprotein L3
226474_at;0,0000929;0,0000007;3,83340921;NLRC5;NLR family CARD domain containing 5
204070_at;0,0000947;0,000000717;0,9499838;RARRES3;retinoic acid receptor responder 3
226459_at;0,0000947;0,000000719;1,89190506;PIK3AP1;phosphoinositide-3-kinase adaptor protein 1
232407_at;0,000095;0,000000723;1,68528623;MUC17;mucin 17, cell surface associated
1564533_at;0,0000952;0,000000726;1,65751667;LOC643711;platelet activating factor acetylhydrolase 1b catalytic subunit 2 pseudogene
202304_at;0,0000971;0,000000744;1,22746802;FNDC3A;fibronectin type III domain containing 3A
1570541_s_at;0,0000974;0,000000749;4,4805789;GBP1P1;guanylate binding protein 1 pseudogene 1
220104_at;0,0000979;0,000000756;3,13731125;ZC3HAV1;zinc finger CCCH-type containing, antiviral 1
225144_at;0,0000979;0,000000758;0,61193384;BMPR2;bone morphogenetic protein receptor type 2
237685_at;0,0000979;0,000000759;2,41692208;LOC101929926;uncharacterized LOC101929926
1558423_at;0,000099;0,00000077;1,50302535;LINC00265;long intergenic non-protein coding RNA 265
210741_at;0,0000992;0,000000774;3,0150748;ARHGEF12;Rho guanine nucleotide exchange factor 12
209546_s_at;0,0000992;0,000000774;2,4601288;APOL1;apolipoprotein L1
206694_at;0,000101;0,000000795;2,47149367;PNLIPRP1;pancreatic lipase related protein 1
235505_s_at;0,000101;0,000000798;-1,66433223;LRPAP1;LDL receptor related protein associated protein 1
1569916_at;0,000103;0,000000814;1,25600106;SLC6A15;solute carrier family 6 member 15
